date,total_pos,total_neg,total_neu,number_pos,number_neg,number_neu,retweet_count
20200120,0.132,0.0,0.868,0,0,1,1
20200121,0.0,0.0,1.0,0,0,1,1
20200122,0.11800000000000001,0.0,0.882,0,0,1,1
20200123,0.278,0.314,34.408,0,0,33,35
20200124,0.583,97.262,308.15500000000003,0,394,404,406
20200125,0.0,0.138,1.862,0,0,2,2
20200126,0.066,0.43700000000000006,4.497,0,0,5,5
20200127,38.70600000000001,94.61899999999997,646.6869999999999,117,232,696,780
20200128,140.16400000000007,187.92300000000003,2874.9150000000022,365,448,2930,3203
20200129,165.87899999999985,257.6540000000001,3923.474,684,1025,4097,4347
20200130,230.18899999999994,239.35599999999985,3658.4590000000044,928,467,3792,4128
20200131,223.10199999999983,376.56899999999985,7141.278999999999,946,1375,7384,7741
20200201,250.2400000000002,279.1500000000002,3814.595000000001,753,903,4111,4344
20200202,185.22,202.77500000000012,2862.4120000000044,902,741,2961,3250
20200203,207.3960000000001,145.69899999999998,2647.9119999999994,723,283,2748,3001
20200204,89.848,209.84800000000004,2944.2829999999976,225,563,3025,3244
20200205,116.08300000000003,472.7070000000004,3143.22,452,1716,3540,3732
20200206,196.6279999999999,351.058,4112.383000000001,1088,1833,4424,4660
20200207,704.3449999999998,1408.2609999999993,7681.4139999999925,4426,6023,9540,9794
20200208,24.257,44.91099999999998,325.80999999999995,96,121,364,395
20200209,0.384,0.488,5.128,0,0,4,6
20200210,74.66199999999999,147.616,1130.7290000000003,147,395,1233,1353
20200211,105.51799999999999,205.0630000000001,1707.3020000000008,392,638,1786,2018
20200212,93.95899999999999,123.15200000000007,1176.9599999999998,240,306,1200,1394
20200213,94.73100000000001,182.39300000000006,1866.8600000000017,258,677,1965,2144
20200214,193.3870000000002,114.05300000000004,1519.5760000000014,579,254,1641,1827
20200215,72.07900000000002,117.14999999999995,2453.7650000000017,226,278,2488,2643
20200216,62.150999999999996,85.32600000000004,984.5230000000004,119,196,1016,1132
20200217,98.59400000000005,137.47500000000002,1817.9209999999996,306,353,1901,2054
20200218,102.923,182.64799999999997,1801.640000000001,398,695,1919,2087
20200219,71.81699999999995,157.57899999999998,1654.6260000000009,194,604,1716,1884
20200220,57.11300000000002,110.01,1157.8719999999996,113,335,1181,1325
20200221,137.99699999999999,134.046,1806.9530000000007,753,522,1907,2079
20200222,97.27700000000002,150.98699999999997,1770.7590000000012,378,461,1868,2019
20200223,59.15099999999997,256.68399999999997,2113.1460000000015,108,1026,2258,2429
20200224,109.67600000000004,345.56499999999977,3336.7980000000007,282,1046,3518,3792
20200225,189.93700000000007,424.16699999999963,4102.047999999998,410,2001,4378,4716
20200226,990.2429999999999,724.3979999999999,6189.156999999994,3645,3773,7558,7904
20200227,2459.183999999999,1242.2090000000003,16160.884000000004,9403,11512,19383,19854
20200228,253.669,752.3089999999999,6469.971,1129,3461,6990,7476
20200229,518.8110000000003,766.7169999999996,6121.499000000003,2403,4088,6944,7407
20200301,161.45799999999994,220.35600000000005,1985.0660000000018,647,682,2124,2367
20200302,1208.4429999999995,1340.058,11283.475999999993,6206,6935,13505,13832
20200303,260.89700000000005,233.79099999999985,3316.2619999999993,1477,620,3484,3811
20200304,209.9299999999998,478.6209999999998,4726.432999999998,601,1387,4930,5415
20200305,651.384,429.8559999999997,8468.394999999982,3534,1596,9012,9550
20200306,478.41300000000007,745.6889999999999,7451.1059999999925,1762,3316,7994,8675
20200307,366.3220000000002,375.38400000000007,5100.287999999997,1543,948,5515,5842
20200308,384.632,490.292,4821.9860000000035,1554,1626,5137,5697
20200309,844.3830000000002,1491.2209999999982,8053.248999999995,5301,5481,9801,10385
20200310,318.5959999999995,388.3869999999998,4601.096000000003,1073,1112,4792,5308
20200311,367.9840000000002,11041.035000000005,69918.94199999995,1358,76029,80772,81328
20200312,765.9459999999999,1208.4999999999995,8558.608999999997,3358,5466,9907,10533
20200313,956.1540000000007,797.1330000000008,12451.621999999994,3364,2412,13187,14205
20200314,1333.6789999999996,767.6279999999999,17821.86600000003,6260,2661,18994,19923
20200315,704.6149999999999,1110.0559999999975,13151.358999999964,2017,5425,14001,14966
20200316,695.8810000000005,790.9830000000017,9283.100999999997,2076,2481,9724,10770
20200317,1655.1370000000022,2299.856999999998,14832.00199999999,9843,9802,17691,18787
20200318,1514.9700000000005,1063.405999999999,18317.522999999997,5451,4532,19796,20896
20200319,1396.0890000000013,1340.9759999999987,15749.282999999989,5590,6087,17357,18486
20200320,1872.881999999998,1227.1429999999996,12338.920999999986,5110,3854,14363,15439
20200321,1021.5949999999983,1387.7920000000017,10878.831,3454,4528,12130,13288
20200322,1579.373999999997,1405.4309999999991,25624.30899999999,8528,6438,27469,28609
20200323,5295.293999999994,1142.4479999999994,37894.06000000005,22293,4476,43176,44332
